Year,Month,SST,SSC,SLP,AT,Catch,Label
2013,9,28.67251876,0.227214922,1008.713721,27.48979167,24221.34087,PFZ
2013,10,29.26979592,0.26,1007.8256,29.43369565,15007.071,PFZ
2013,11,30.27477591,0.301076603,1006.838239,31.28583258,9513.62015,PFZ
2013,12,31.51034142,0.34451129,1005.873055,32.47072644,7433.131149,PFZ
2014,1,32.74405194,0.38289979,1005.068297,33.00782536,7864.958694,PFZ
2014,2,33.74346695,0.408837831,1004.562213,32.91657745,9908.457482,NPFZ
2014,3,34.27614594,0.414921144,1004.493052,32.21643084,12662.98221,NPFZ
2014,4,34.10964841,0.393745457,1004.999064,30.92683367,15227.88757,NPFZ
2014,5,33.01153383,0.337906499,1006.218497,29.06723404,16702.52827,PFZ
2014,6,30.7493617,0.24,1008.2896,27.26877551,16186.259,PFZ
2014,7,27.81560976,0.13,1010.473478,27.41217391,13431.002,NPFZ
2014,8,26.8334428,0.131262918,1009.990057,27.80136706,11834.16394,NPFZ
2014,9,28.075,0.18,1009.051702,27.94453994,19586.576,NPFZ
2014,10,29.66704545,0.18,1009.73087,27.95024164,28827.87,NPFZ
2014,11,27.49243902,0.14,1009.493636,27.92702128,2968.551,NPFZ
2014,12,26.93634331,0.116438025,1010.379797,27.97850994,15170.58628,NPFZ
2015,1,27.97390244,0.11,1011.81087,28.18866667,51699.53,NPFZ
2015,2,28.79712043,0.10761994,1012.426779,28.55534835,75450.05907,NPFZ
2015,3,29.13711163,0.107091139,1012.182176,28.75167535,82346.28234,NPFZ
2015,4,29.10976798,0.108921711,1011.360397,28.36958392,76569.66666,NPFZ
2015,5,28.83098142,0.11361977,1010.244777,27.40717391,62301.67884,NPFZ
2015,6,28.4166439,0.121693428,1009.118651,26.9873913,43723.78574,NPFZ
2015,7,27.98264735,0.1336508,1008.265354,26.80433491,25017.45418,NPFZ
2015,8,27.64488372,0.15,1007.968222,26.70918601,10364.151,NPFZ
2015,9,27.48784763,0.170260849,1008.370451,26.71734857,3484.971647,NPFZ
2015,10,27.47044444,0.19,1009.054681,26.84422655,6259.526,NPFZ
2015,11,27.59444804,0.204267482,1009.520505,27.10522393,17726.23008,PFZ
2015,12,28.15869565,0.21,1009.49587,27.51574468,27400.21,PFZ
2016,1,29.28935821,0.207669221,1008.984947,28.05645833,27993.64592,PFZ
2016,2,30.12487805,0.21,1008.868444,28.55503496,34530.224,PFZ
2016,3,29.86856534,0.227555633,1009.869623,28.74816327,60650.95912,PFZ
2016,4,28.97093023,0.25,1011.205435,28.50653061,92154.675,PFZ
2016,5,28.07133095,0.264632988,1011.941142,28.19977587,111867.4722,PFZ
2016,6,27.31731825,0.270197933,1012.041576,27.97243788,118566.7494,PFZ
2016,7,26.73349096,0.268299033,1011.69646,27.87576539,115017.73,PFZ
2016,8,26.34444793,0.260540487,1011.095515,27.9610071,103985.6374,PFZ
2016,9,26.17478802,0.248526493,1010.428466,28.27941176,88235.69495,PFZ
2016,10,26.24911008,0.233861249,1009.885034,28.83888297,70533.12591,PFZ
2016,11,26.59201295,0.218148953,1009.654943,29.47394384,53643.15368,PFZ
2016,12,27.22809548,0.202993804,1009.927915,29.97577238,40331.00159,PFZ
2017,1,28.18195652,0.19,1010.893673,30.13554658,33361.893,NPFZ
2017,2,29.35906977,0.18,1012.280417,29.74444444,33400.703,NPFZ
2017,3,30.30794463,0.171418193,1012.486006,28.74052704,34394.27375,NPFZ
2017,4,30.93611065,0.164622763,1011.509789,27.64938776,34922.5395,NPFZ
2017,5,31.27063367,0.16066078,1009.866866,27.01019875,35248.79457,NPFZ
2017,6,31.33857957,0.160579314,1008.07234,26.82891489,35636.33328,NPFZ
2017,7,31.1670142,0.165425434,1006.641312,26.97818677,36348.44996,NPFZ
2017,8,30.78300342,0.176246209,1006.088882,27.33066494,37648.43892,NPFZ
2017,9,30.2136131,0.194088708,1006.930154,27.759,39799.59449,NPFZ
2017,10,29.48590909,0.22,1009.680227,28.13584251,43065.211,PFZ
2017,11,28.65953488,0.24,1013.38625,28.33384304,48131.725,PFZ
2017,12,27.92444444,0.18,1011.223556,28.22565217,57378.142,NPFZ
